User ID,Nombre_Completo,Rol_Hospitalario,Pais_Residencia,Ciudad_Base,Turno_Asignado,Estado_Cuenta,Fecha_Ingreso
-9199681687640069288,Allison Hill,Personal de Laboratorio,CO,Bucaramanga,Nocturno,Activo,2018-09-08
-9193934150920494444,Megan Mcclain,Enfermero/a,CO,Bogotá,Tarde,Activo,2017-06-17
-9191830081732737503,Allen Robinson,Administrativo - Facturación,AR,Buenos Aires,Administrativo,Activo,2021-03-24
-9191749289908035619,Cristian Santos,Farmacéutico/a,CO,Bucaramanga,Nocturno,Activo,2021-08-01
-9182435589647207226,Kevin Pacheco,Médico Especialista,CO,Cali,Diurno,Activo,2016-09-26
-9168474150838863023,Melissa Peterson,Directivo / Gerencia,CO,Medellín,Administrativo,Activo,2018-01-29
-9165338335002635023,Gabrielle Davis,Personal de Laboratorio,CO,Medellín,Tarde,Activo,2017-07-19
-9152452860227039335,Lindsey Roman,Personal de Laboratorio,CO,Medellín,Diurno,Activo,2023-03-31
-9144514600079356663,Valerie Gray,Médico Especialista,CO,Bucaramanga,Diurno,Activo,2021-08-24
-9142391767740311751,Lisa Hensley,Enfermero/a,CO,Bogotá,Nocturno,Activo,2021-11-15
-9138172700779425263,Amber Perez,Enfermero/a,CO,Bucaramanga,Diurno,Activo,2019-04-14
-9137590656624978948,David Garcia,Personal de TI / Soporte,CO,Bucaramanga,Diurno,Activo,2019-03-07
-9135169151023178981,Holly Wood,Farmacéutico/a,CL,Concepción,Diurno,Activo,2018-07-25
-9127579543343709059,Timothy Wong,Administrativo - Facturación,CO,Bogotá,Tarde,Activo,2022-02-28
-9125470966823413325,Nicholas Martin,Enfermero/a,CO,Ibagué,Tarde,Activo,2020-02-04
-9124537240225242578,Margaret Hawkins DDS,Médico General,CO,Barranquilla,Tarde,Activo,2024-04-06
-9104096494612020243,Crystal Johnson,Auxiliar de Enfermería,CO,Bogotá,Diurno,Activo,2019-07-08
-9092460039510487194,Daniel Hahn,Médico Especialista,CO,Bogotá,Diurno,Activo,2024-07-25
-9087105060219911723,Matthew Foster,Administrativo - Facturación,CO,Bogotá,Nocturno,Activo,2024-11-28
-9077209301945685219,Derek Wright,Auxiliar de Enfermería,MX,Guadalajara,Tarde,Inactivo,2021-09-24
-9071285688133391565,Kevin Hurst,Personal de Laboratorio,CO,Medellín,Nocturno,Inactivo,2020-04-09
-9064314672663426859,Zachary Hicks,Enfermero/a,CO,Ibagué,Diurno,Activo,2017-06-30
-9062673142517864724,Brian Burton,Directivo / Gerencia,CO,Ibagué,Diurno,Activo,2023-10-22
-9051838795293508753,Arthur James,Administrativo - RRHH,PE,Lima,Diurno,Activo,2025-08-23
-9041235336571661509,Tricia Valencia,Personal de Laboratorio,ES,Barcelona,Tarde,Activo,2016-10-12
-9033617457444265540,Melanie Herrera,Médico General,US,Los Ángeles,Tarde,Activo,2019-01-30
-9025098719785951050,Ashley Graham,Enfermero/a,CO,Bucaramanga,Nocturno,Activo,2020-10-05
-8998113967172507959,Sherri Baker,Médico Especialista,CO,Bucaramanga,Tarde,Activo,2021-03-08
-8994416724763439334,Thomas Harrell,Médico General,CO,Ibagué,Tarde,Activo,2019-05-13
-8990756624284429538,Lisa Hernandez,Farmacéutico/a,PE,Arequipa,Tarde,Activo,2023-07-17
-8964258062682057846,Paula Moreno,Personal de Laboratorio,CO,Medellín,Diurno,Activo,2016-09-06
-8962769039854814435,Alec Hickman,Directivo / Gerencia,CO,Barranquilla,Tarde,Activo,2024-08-02
-8950658497901016332,Elizabeth Brown,Enfermero/a,CO,Ibagué,Diurno,Activo,2024-07-31
-8948977688533487802,Angelica Tucker,Enfermero/a,CO,Cali,Tarde,Activo,2017-04-20
-8929888504607999912,Pamela Anderson,Enfermero/a,CO,Bogotá,Diurno,Inactivo,2020-12-15
-8913985718407814533,Deborah Brennan,Médico General,CO,Medellín,Nocturno,Activo,2020-06-26
-8894685173115878686,Joshua Blair,Médico Especialista,CO,Bucaramanga,Administrativo,Activo,2018-06-28
-8893894454472992440,Zachary Santos,Enfermero/a,AR,Córdoba,Diurno,Activo,2020-08-15
-8891977153969706865,Barbara Walker,Médico General,CO,Cali,Nocturno,Activo,2019-09-21
-8887085336307377901,Crystal Robinson,Farmacéutico/a,ES,Valencia,Nocturno,Activo,2017-04-26
-8872307234582607931,Crystal Whitehead,Enfermero/a,CO,Medellín,Diurno,Activo,2024-05-31
-8867087145934795946,David Caldwell,Administrativo - Facturación,MX,Guadalajara,Nocturno,Activo,2018-08-10
-8845073432928190989,Timothy Duncan,Farmacéutico/a,CO,Cali,Nocturno,Activo,2020-12-06
-8836409220269061738,Rhonda Lee,Enfermero/a,CL,Santiago,Administrativo,Inactivo,2017-07-20
-8827878948149432822,Jeff Owens,Administrativo - Facturación,CO,Bogotá,Administrativo,Activo,2023-03-29
-8820563919993292953,Victoria Garcia,Administrativo - Facturación,CO,Barranquilla,Diurno,Activo,2020-04-20
-8818392389644858219,Scott Wright,Enfermero/a,CO,Bogotá,Tarde,Activo,2018-05-23
-8806631359410557718,Javier Ramirez,Enfermero/a,CO,Cali,Tarde,Activo,2018-12-05
-8803830700387662493,Jessica Callahan,Farmacéutico/a,CO,Cali,Diurno,Activo,2021-08-18
-8795566050230341170,Zachary Huff,Médico Especialista,CO,Ibagué,Diurno,Activo,2025-05-26
-8785843677555830094,Sarah Martin,Médico General,US,Houston,Administrativo,Activo,2021-01-18
-8782684074671982007,James Brown,Médico Especialista,CO,Bogotá,Diurno,Activo,2020-02-02
-8766661076260332391,Mrs. Rachel Gibson,Personal de Laboratorio,CO,Bucaramanga,Tarde,Activo,2020-06-26
-8765549572284599626,Whitney Peters,Farmacéutico/a,CO,Barranquilla,Nocturno,Activo,2023-02-22
-8762400572334811191,Edward Novak,Farmacéutico/a,ES,Madrid,Diurno,Activo,2021-11-21
-8762119816579444716,Nicole Brown,Personal de Laboratorio,AR,Córdoba,Tarde,Activo,2021-12-08
-8685510047306861540,Sarah Moore,Enfermero/a,CO,Bogotá,Administrativo,Activo,2025-04-29
-8679214393987883694,Cody Larson,Auxiliar de Enfermería,US,Los Ángeles,Tarde,Activo,2022-10-03
-8673119642288423574,Bryan Zamora,Médico Especialista,CO,Cali,Diurno,Activo,2018-11-23
-8667277367084090599,Lisa Barnes,Médico Especialista,ES,Valencia,Diurno,Activo,2021-12-06
-8662535103738302612,Taylor Harris,Farmacéutico/a,US,Los Ángeles,Administrativo,Activo,2023-02-15
-8660816223329537942,James Powers,Enfermero/a,CO,Medellín,Diurno,Activo,2019-05-19
-8653843734298512369,Paul Jones,Auxiliar de Enfermería,CO,Bucaramanga,Tarde,Activo,2020-10-20
-8638665675668512786,Dr. Angel Lewis MD,Personal de Laboratorio,CO,Bogotá,Diurno,Activo,2025-01-28
-8629733551171029323,Sherry Wood,Auxiliar de Enfermería,CO,Bogotá,Tarde,Activo,2018-02-05
-8619541530930730160,Michele Carr,Auxiliar de Enfermería,ES,Barcelona,Administrativo,Activo,2025-07-25
-8578194324854769831,Aimee Montoya,Auxiliar de Enfermería,CO,Cali,Tarde,Activo,2019-05-17
-8566170526024225831,Teresa Taylor,Enfermero/a,CO,Bogotá,Administrativo,Activo,2017-09-19
-8560928977512124323,Juan Nelson,Médico Especialista,CL,Santiago,Diurno,Activo,2022-02-14
-8550483216011833603,Christina Walters,Enfermero/a,CO,Bogotá,Tarde,Activo,2019-01-20
-8547910113044099740,Taylor Mathis Jr.,Médico General,CO,Barranquilla,Administrativo,Activo,2020-06-28
-8546706392250883470,Aaron Wise,Enfermero/a,CO,Cali,Tarde,Activo,2022-05-31
-8535195218509522177,Patrick Arnold,Administrativo - Facturación,CO,Barranquilla,Diurno,Activo,2020-07-11
-8530513894412125881,Benjamin Ware,Médico General,CO,Bucaramanga,Administrativo,Activo,2024-10-24
-8529954098995132189,Sandra Aguilar,Médico Especialista,CO,Cali,Tarde,Activo,2018-01-04
-8526398609086839418,Eric Nolan,Enfermero/a,CO,Medellín,Tarde,Activo,2023-11-04
-8471467215848000261,Stephanie Clark,Enfermero/a,CO,Cali,Administrativo,Activo,2018-12-04
-8456721491960926121,Richard Henson,Farmacéutico/a,CO,Cali,Diurno,Activo,2020-05-02
-8453482681903189192,Brittany Spears,Auxiliar de Enfermería,CO,Medellín,Diurno,Activo,2024-06-16
-8452165552991357353,Rita Keith,Personal de Laboratorio,CO,Bucaramanga,Diurno,Activo,2016-11-25
